entityId,publishedAt,status,title,tags
3847351,2019-04-18T10:21:26-0300,True,"Liberdade de expressão não pode servir para a alimentação do ódio, diz Toffoli","Dias Toffoli, Destaque NSC"
3847241,2019-04-18T10:16:06-0300,True,Por que devemos incentivar meninas e mulheres na tecnologia? ,tecnologia
3847316,2019-04-18T10:13:59-0300,True,Transformação do Espinheiros em espaço turístico deve começar no segundo semestre,"Espinheiros, turismo, Joinville, Destaque AN"
3847301,2019-04-18T10:12:43-0300,True,Mais uma vítima é encontrada em Muzema e número de mortos sobe para 20,"Rio de Janeiro, Desabamento no Rio, Destaque NSC"
3845621,2019-04-18T10:05:02-0300,True,Movimento encena a Paixão de Cristo nas escadarias da Catedral Metropolitana,"paixão de cristo, teatro, Catedral Metropolitana"
3847246,2019-04-18T09:53:56-0300,True,"Jovem de 21 anos morre ao bater contra poste na marginal da BR-101, em Camboriú ","trânsito, Camboriú, BR-101, acidente, Destaque Santa"
3847221,2019-04-18T09:43:15-0300,True,Dupla de Brusque lança álbum inspirado no Vale do Itajaí,"música, Brusque, lançamento, álbum, CD"
3847236,2019-04-18T09:42:33-0300,True,URB tem prazo de três anos até ser completamente extinta,"urb, Blumenau, cidade"
3846481,2019-04-18T09:40:01-0300,True,"Vaga em aberto no meio-campo do Avaí
","Avaí, Esportes"
3847231,2019-04-18T09:39:28-0300,True,Família que perdeu tudo em incêndio precisa de doações de roupas e material de construção,"incêndio, Florianópolis, solidariedade, Saco dos Limões, fogo, chamas, Destaque Hora SC"
3847226,2019-04-18T09:31:58-0300,True,Horóscopo: confira a previsão de cada signo para esta quinta-feira 18/04 ,"horóscopo, astrologia"
3778521,2019-04-18T09:20:01-0300,True,Acessos em 2018 unem Geninho e Ney na decisão do Catarinense,"Destaque DC, Destaque Hora SC, Futebol, Esportes, Catarinense 2019, Chapecoense, Ney Franco, Geninho, Avaí, ressacada"
3847216,2019-04-18T08:51:29-0300,True,Suspeitos de decapitar e desmembrar jovem são presos em São Francisco do Sul ,"Joinville, Destaque AN, São Francisco do Sul, decapitação, segurança"
3847211,2019-04-18T08:44:37-0300,True,Acidente resulta em lentidão no trânsito da SC-401 na manhã desta quinta,"acidente, SC-401, trânsito"
3847206,2019-04-18T08:43:11-0300,True,Celesc responde,Celesc
3847201,2019-04-18T08:40:17-0300,True,"Há 20 anos, Emaús encena a Paixão de Cristo","paixão de cristo, Páscoa, tradição"
3845561,2019-04-18T08:35:01-0300,True,Festa do cinema infantil na Capital,"cinema, Mostra de Cinema Infantil de Florianópolis"
3847196,2019-04-18T08:32:43-0300,True,Encontros do Céu e da Terra,"tac, música, musical"
3846886,2019-04-18T08:13:33-0300,True,Projeto prevê Macuca e estação de trem na praça da prefeitura,"macuca, estação, Blumenau, concessão, iniciativa privada"
3846901,2019-04-18T08:03:20-0300,True,Obra interdita trecho de avenida e deixa nove bairros sem água em Joinville,"Destaque AN, falta de água, Joinville, obra"
3846396,2019-04-18T07:35:02-0300,True,Paixão Alvinegra: o Estadual não nos pertence mais,"Paixão Alvinegra, Figueirense, Esportes"
3846606,2019-04-18T07:34:32-0300,True,Temperatura pode chegar aos 31°C nesta quinta em Joinville,"Joinville, Destaque AN, calor, previsão do tempo"
3846251,2019-04-18T07:30:02-0300,True,Paixão Azurra: no sábado também terá torcida na Ressacada,"Paixão Azurra, Avaí, Esportes"
3846601,2019-04-18T07:13:16-0300,True,"""Naninhas"" para animar a páscoa das crianças",comunidade
3846596,2019-04-18T07:06:57-0300,True,Rua General Osório terá trânsito parcialmente interrompido nesta quinta-feira para obras  ,"rua general osório, Blumenau, trânsito, obras, Destaque Santa"
3845516,2019-04-18T07:05:01-0300,True,CIEE lança serviço para jovens da comunidade,"emprego, mercado de trabalho"
3772541,2019-04-18T07:00:02-0300,True,Gabriel Elias em Joinville,música
3846561,2019-04-18T06:55:02-0300,True,Técnico da Chapecoense diz que time estará recuperado até a final ,"Chapecoense, Corinthians-SP, copa do brasil, Campeonato Catarinense, Avaí, Esportes"
3846511,2019-04-18T06:45:01-0300,True,"Figueirense dever ter um atacante velocista
","Figueirense, Esportes"
